question,type,options,t5_answer_verbose
What metrics were used to evaluate the communication?,TEXT,Text,"The communication was evaluated by a number of metrics, such as the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number of people in the room, the number"
What recommendations would you make for future communications?,TEXT,Text,I would make recommendations for future communications.
What resources or support did you find most helpful?,TEXT,Text,I found a lot of resources or support.
What specific actions did the agent take that you appreciated?,TEXT,Text,I appreciated the fact that she took the time to listen to what I had to say.
What specific actions did the agent take that you did not appreciate?,TEXT,Text,I didn't appreciate the agent's actions.
What specific changes would you recommend for the next convention?,TEXT,Text,"I would recommend the following changes to the convention: a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a reorganization of the convention, a"
What steps did the agent take to resolve your issue?,TEXT,Text,I asked the agent if he could help me find a solution to my problem.
What suggestions do you have for future conventions?,TEXT,Text,"I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future, but I'd like to have a convention in the future."
What tools or resources could have helped the agent resolve your issue more efficiently?,TEXT,Text,The agent could have helped me find a solution to my problem.
What was the least helpful aspect of the support?,TEXT,Text,
What was the message of the communication?,TEXT,Text,I'm going to be a good friend to you.
What was the most helpful aspect of the support?,TEXT,Text,It's a good way to keep track of what you're doing and how you're doing it.
What was the purpose of the communication?,TEXT,Text,The purpose of the communication was to inform the public about the company's products and services.
What was the quality of the resources provided?,TEXT,Text,The quality of the resources was poor.
What was your favorite part of the support interaction?,TEXT,Text,I liked the fact that I was able to interact with the other people in the support group.
What was your initial impression of the support agent?,TEXT,Text,I was impressed.
What was your least favorite part of the support interaction?,TEXT,Text,
What were the barriers to communication?,TEXT,Text,I had a hard time communicating with people.
What were the communication channels used?,TEXT,Text,The Internet.
What were the ethical considerations involved in the communication?,TEXT,Text,
What were the intended and unintended consequences of the communication?,TEXT,Text,The communication was unintended and unintended.
What were the key factors contributing to success or failure?,TEXT,Text,Success is a result of success. Failure is a result of failure.
What were the key takeaways?,TEXT,Text,I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are: I think the key takeaways are:
What were the outcomes of the communication?,TEXT,Text,The communication was a good one.
What were the results?,TEXT,Text,"I'm not sure if it's a bad thing or a bad thing, but I don't think it's a bad thing."
What were the strengths and weaknesses of the convention's communication strategy?,TEXT,Text,The convention's communication strategy was weak.
What were your biggest challenges during the convention?,TEXT,Text,I had a lot of questions about the convention.
What were your expectations before attending the convention?,TEXT,Text,I was excited about the convention.
What were your observations?,TEXT,Text,"I'm not sure if it's a good idea or not, but I'm not sure it's a good idea."
What would you change about the schedule of events?,TEXT,Text,I would change the schedule of events.
What would you do differently next time?,TEXT,Text,I would do something different next time.
Would you recommend our support to others? Why or why not?,TEXT,Text,Why not?
On what date did the project officially commence? Provide a date.,DATE,Date,"The project officially began on October 1, 2006."
On what date was the training session conducted? Provide a date.,DATE,Date,"The training session was held on March 2, 2001."
What date did the equipment malfunction?,DATE,Date,"The equipment malfunctioned on January 1, 1999."
What date did the initial deployment occur? Provide a date.,DATE,Date,"The initial deployment began on September 11, 2001."
What date did the issue begin? Provide a date.,DATE,Date,The issue began in the early part of the 20th century.
What date did the order ship? Provide a date.,DATE,Date,"The order was shipped on December 15, 2001."
What date did the permit expire? Provide a date.,DATE,Date,"The permit expired on July 1, 2017."
What date did the technical issue arise? Provide a date.,DATE,Date,The issue was a technical one.
What date did the training begin for the new software? Provide a date.,DATE,Date,"The training began on January 1, 2001."
What date did the training session conclude? Provide a date.,DATE,Date,"The training session concluded on March 18, 2019."
What date did you attend the webinar? Provide a date.,DATE,Date,"I attended the webinar on January 10, 2001."
What date did you receive the notification about your test results? Provide a date.,DATE,Date,"I received the notification on October 1, 2001."
What date did you start feeling unwell? Provide a date.,DATE,Date,"I started feeling unwell on January 1, 2001."
What date is the company anniversary? Provide a date.,DATE,Date,The company's anniversary is on May 31st.
What date is the conference taking place? Provide a date.,DATE,Date,"The conference is taking place on March 6, 2018 at the University of California, Berkeley."
What date is the contract renewal due? Provide a date.,DATE,Date,"The contract renewal is due on December 31, 2018."
What date is the deadline for submitting feedback? Provide a date.,DATE,Date,"The deadline for submitting feedback is January 1, 2018."
What date is the end of the probationary period? Provide a date.,DATE,Date,"The end of the probationary period begins on January 1, 2019."
What date is the next board meeting scheduled for? Provide a date.,DATE,Date,The next board meeting is on Thursday.
What date is the next scheduled backup? Provide a date.,DATE,Date,The next backup will be on December 31st.
What date is the next staff meeting? Provide a date.,DATE,Date,"The next staff meeting will be on Monday, February 23rd."
What date is the next team-building exercise? Provide a date.,DATE,Date,"The next team-building exercise will take place on Friday, July 20th."
What date is your next review scheduled? Provide a date.,DATE,Date,I'm scheduled to review the next review on January 27th.
What date should we schedule the site visit? Provide a date.,DATE,Date,We should schedule the visit on Friday.
What date was the final testing report submitted? Provide a date.,DATE,Date,"The final testing report was submitted on October 31, 2002."
What date was the infrastructure upgrade completed? Provide a date.,DATE,Date,"The upgrade was completed on December 31, 2001."
What date was the requirement specification finalized? Provide a date.,DATE,Date,"The requirement specification was finalized on January 1, 2003."
What date was the system architecture documented? Provide a date.,DATE,Date,The system architecture was documented in 1998.
What date will the new system be decommissioned? Provide a date.,DATE,Date,"The system will be decommissioned on January 1, 2020."
What date will the system go live? Provide a date.,DATE,Date,"The system will go live on November 1, 2020."
What is the cut-off date for registering for the event? Provide a date.,DATE,Date,The cut-off date for registering for the event is October 1st.
What is the date of the next billing cycle? Provide a date.,DATE,Date,The next billing cycle will start on December 31st.
What is the date of the next code review? Provide a date.,DATE,Date,"The next code review will be held on December 15, 2018."
What is the date of the next performance review? Provide a date.,DATE,Date,"The performance review will be held on Thursday, March 30, 2018 at 5:00 p.m."
What is the date of the next software review? Provide a date.,DATE,Date,"The next software review will take place on March 15, 2019."
What is the date of the next stakeholder meeting? Provide a date.,DATE,Date,"The next stakeholder meeting will be held on March 18, 2019."
What is the date of the next team meeting? Provide a date.,DATE,Date,The next team meeting will be on Friday.
What is the date of your last prescription refill? Provide a date.,DATE,Date,"I had my last prescription refill on October 31, 2016."
What is the date of your last purchase? Provide a date.,DATE,Date,"I bought a new car on April 1, 2002."
What is the date of your next appointment? Provide a date.,DATE,Date,I'm going to be at the office on Friday.
What is the date of your next blood test? Provide a date.,DATE,Date,I will be able to get a blood test on Friday.
What is the date of your next physician consultation? Provide a date.,DATE,Date,I'll be there on Friday.
What is the date of your next scheduled check-up? Provide a date.,DATE,Date,I will be in for a check-up on Friday.
What is the date of your next scheduled maintenance?,DATE,Date,I'll be out of town on Friday.
What is the date of your next scheduled therapy session? Provide a date.,DATE,Date,I'll be there on Friday.
What is the date of your next software update? Provide a date.,DATE,Date,"The latest version of the software was released on March 30, 2018 and will be available for download on March 30, 2018."
What is the date of your surgery? Provide a date.,DATE,Date,"I had my surgery on March 15, 2018."
What is the deadline for submitting the project report? Provide a date.,DATE,Date,"The deadline for submitting a project report is October 1, 2002."
What is the deadline for submitting your application? Provide a date.,DATE,Date,"The deadline for submitting your application is January 1, 2018."
What is the delivery date? Provide a date.,DATE,Date,"The delivery date is November 1, 2018."
What is the due date for payment? Provide a date.,DATE,Date,"The due date for payment is December 31, 2018."
What is the end date of your subscription? Provide a date.,DATE,Date,"The end date of your subscription is November 30, 2018."
What is the expected completion date of the current project? Provide a date.,DATE,Date,The project is expected to be completed by the end of the year.
What is the expected date of project sign-off? Provide a date.,DATE,Date,The project is expected to be signed off by the end of the year. The project is expected to be signed off by the end of the year.
What is the expected date of your recovery? Provide a date.,DATE,Date,I will be able to recover in a few days.
What is the expected delivery date for the new order? Provide a date.,DATE,Date,"The delivery date for the new order is Friday, November 30th."
What is the expiration date of the coupon? Provide a date.,DATE,Date,"The expiration date of the coupon is October 30, 2018."
What is the implementation date for the new feature? Provide a date.,DATE,Date,"The new feature was implemented on January 1, 2017."
What is the invoice date? Provide a date.,DATE,Date,"The invoice date is March 30, 2018."
What is the invoice due date? Provide a date.,DATE,Date,"The invoice due date is December 31, 2018."
What is the last day to submit expense reports? Provide a date.,DATE,Date,The last day to submit expense reports is October 31st.
What is the latest date for feedback submission? Provide a date.,DATE,Date,"The latest date for feedback submission is January 1, 2019."
What is the planned date for the database migration? Provide a date.,DATE,Date,"The migration will take place on June 30, 2020."
What is the planned date for the next release? Provide a date.,DATE,Date,"The next release is scheduled for June 18, 2019."
What is the project completion date? Provide a date.,DATE,Date,The project is expected to be completed by the end of the year.
What is the project's milestone date? Provide a date.,DATE,Date,"The project's milestone date is January 1, 2020."
What is the return deadline? Provide a date.,DATE,Date,"The return deadline is January 15, 2018."
What is the start date for the training course? Provide a date.,DATE,Date,The start date for the training course is October 1st.
What is the start date of the new fiscal year? Provide a date.,DATE,Date,"The start date of the new fiscal year is January 1, 2020."
What is the target completion date for the current sprint? Provide a date.,DATE,Date,"The target completion date for the current sprint is January 1, 2020."
What is the target launch date for the new application? Provide a date.,DATE,Date,"The target launch date for the new application is January 1, 2020."
What is the target launch date for the new product? Provide a date.,DATE,Date,"The target launch date for the new product is January 1, 2020."
What is the warranty expiration date? Provide a date.,DATE,Date,"The warranty expiration date is January 1, 2020."
What is your date of birth? Provide a date.,DATE,Date,"I was born on March 29, 1967."
What is your preferred date for a service call? Provide a date.,DATE,Date,I would like to call on Friday.
When did the development phase conclude? Provide a date.,DATE,Date,The development phase concluded in late April.
When did the employee start working for the company? Provide a date.,DATE,Date,The employee started working for the company in January 2000.
When did the equipment become operational? Provide a date.,DATE,Date,The equipment was operational in the mid-1980s.
When did the event take place? Provide a date.,DATE,Date,"It took place on October 12, 2013."
When did the incident occur? Provide a date.,DATE,Date,"The incident occurred on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 29, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 29, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 29, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 29, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 29, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 29, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to have taken place on January 30, 2018 and was reported to"
When did the payment process begin? Provide a date.,DATE,Date,The payment process began in December 2000.
When did the performance testing commence? Provide a date.,DATE,Date,"The performance testing began on October 1, 2008."
When did the refund process start? Provide a date.,DATE,Date,The refund process began in September 2017.
When did the server outage begin? Provide a date.,DATE,Date,"The server outage began on January 1, 2003."
When did the shipment arrive at the warehouse? Provide a date.,DATE,Date,"The shipment arrived at the warehouse on March 6, 2018."
When did the trial period begin? Provide a date.,DATE,Date,"The trial period began on March 1, 2003."
When did the user acceptance testing begin? Provide a date.,DATE,Date,The user acceptance testing began in September 2017.
When did the warranty expire on this piece of equipment? Provide a date.,DATE,Date,The warranty expires at the end of the year.
When did you begin experiencing this allergic reaction? Provide a date.,DATE,Date,I began experiencing this allergic reaction in January of this year.
When did you begin experiencing this specific symptom? Provide a date.,DATE,Date,I began experiencing this symptom in the early 1990s.
When did you begin taking this new medication? Provide a date.,DATE,Date,I began taking this medication in March of this year.
When did you begin this new exercise regimen? Provide a date.,DATE,Date,I began this new exercise regimen in January of this year.
When did you complete the online form? Provide a date.,DATE,Date,"I completed the form on May 1, 2017."
When did you complete the survey? Provide a date.,DATE,Date,I completed the survey on October 1st.
When did you complete your prescribed rehabilitation? Provide a date.,DATE,Date,I completed my rehabilitation in May of last year.
When did you experience a significant change in your health condition? Provide a date.,DATE,Date,I experienced a significant change in my health condition in the early 1990s.
When did you experience the onset of this condition? Provide a date.,DATE,Date,I experienced the onset of this condition at the age of 20.
When did you first encounter this problem? Provide a date.,DATE,Date,I first encountered this problem in the early 1990s.
When did you first experience these symptoms? Provide a date.,DATE,Date,I first experienced these symptoms in the early 1980s.
When did you first notice this skin condition? Provide a date.,DATE,Date,I first noticed this skin condition in the early 1990s.
When did you last consume alcohol? Provide a date.,DATE,Date,I drank a lot of alcohol in the past year.
When did you last contact customer support? Provide a date.,DATE,Date,"I spoke to customer support on March 15, 2015."
When did you last have a flu shot? Provide a date.,DATE,Date,I had a flu shot in March of last year.
When did you last have a significant injury? Provide a date.,DATE,Date,I had a serious injury in January of last year.
When did you last see a mental health professional? Provide a date.,DATE,Date,I last saw a mental health professional about two years ago.
When did you last undergo a medical imaging procedure? Provide a date.,DATE,Date,I had a medical imaging procedure in January of this year.
When did you last update your health information? Provide a date.,DATE,Date,I updated my health information in January 2018.
When did you last visit the emergency room? Provide a date.,DATE,Date,"I went to the emergency room on March 12, 2013."
When did you purchase our product? Provide a date.,DATE,Date,I purchased the product in March of this year.
When did you receive the confirmation email? Provide a date.,DATE,Date,"I received the confirmation email on March 1, 2001."
When did you receive the initial diagnosis? Provide a date.,DATE,Date,"I received the initial diagnosis on January 1, 2001."
When did you receive the product? Provide a date.,DATE,Date,"I received the product on December 15, 2017."
When did you receive the results of your latest tests? Provide a date.,DATE,Date,"I received the results of my latest tests on March 30, 2016."
When did you receive your first shipment? Provide a date.,DATE,Date,I received my first shipment in May of this year.
When did you register your account? Provide a date.,DATE,Date,"I registered my account on May 1, 2012."
When did you sign the contract? Provide a date.,DATE,Date,"I signed the contract on March 1, 1998."
When did you start experiencing pain in this area? Provide a date.,DATE,Date,I started experiencing pain in this area in January of this year.
When did you start experiencing shortness of breath? Provide a date.,DATE,Date,I started experiencing shortness of breath in the early 1990's.
When did you start this medication? Provide a date.,DATE,Date,I started this medication in January of last year.
When did you start this new diet? Provide a date.,DATE,Date,I started this diet in the early 1990's.
When did you start using our service? Provide a date.,DATE,Date,I started using our service in August of last year.
When did you stop smoking? Provide a date.,DATE,Date,I stopped smoking in the early 1980s.
When did you submit your order? Provide a date.,DATE,Date,"I submitted my order on May 7, 2013."
When did you subscribe to the service? Provide a date.,DATE,Date,I subscribed to the service in April of last year.
When did your symptoms begin to improve? Provide a date.,DATE,Date,When did my symptoms begin to improve?
When is the annual general meeting? Provide a date.,DATE,Date,The annual general meeting is held on December 31st.
When is the conference scheduled? Provide a date.,DATE,Date,The conference is scheduled to be held on September 23rd.
When is the deadline for submitting the report? Provide a date.,DATE,Date,"The deadline for submitting the report is March 30, 2018."
When is the deadline for the project bid? Provide a date.,DATE,Date,"The deadline for the project bid is March 15, 2018."
When is the deadline for the project completion? Provide a date.,DATE,Date,"The deadline is March 31, 2020."
When is the deadline for the proposal submission? Provide a date.,DATE,Date,"The deadline for submission of a proposal is October 1, 2018."
When is the next budget review scheduled? Provide a date.,DATE,Date,The next budget review is scheduled for June 1st.
When is the next holiday? Provide a date.,DATE,Date,The next holiday is on December 31st.
When is the next quality control inspection scheduled? Provide a date.,DATE,Date,The next inspection is scheduled for October.
When is the next safety training scheduled? Provide a date.,DATE,Date,The next safety training is scheduled for September 30th.
When is the next scheduled audit? Provide a date.,DATE,Date,"The next audit will be scheduled for January, 2020."
When is the next scheduled maintenance window? Provide a date.,DATE,Date,"The next maintenance window is scheduled for Monday, February 26, 2019."
When is the next scheduled maintenance? Provide a date.,DATE,Date,The next maintenance is scheduled for May.
When is the next scheduled system backup? Provide a date.,DATE,Date,"The next scheduled system backup will be on December 15, 2017."
When is the next software release planned? Provide a date.,DATE,Date,"The next software release is scheduled for June 1, 2018."
When is the next technology audit scheduled? Provide a date.,DATE,Date,The next technology audit is scheduled for October.
When is the payment due? Provide a date.,DATE,Date,The payment is due on October 1st.
When is your next appointment? Provide a date.,DATE,Date,I'm scheduled for a meeting on Friday.
When is your preferred date for delivery? Provide a date.,DATE,Date,I'd like to have delivery on Friday.
When is your preferred shipping date? Provide a date.,DATE,Date,I would like to ship a new car on the same day.
When was the account created? Provide a date.,DATE,Date,When was the account created?
When was the bug report submitted? Provide a date.,DATE,Date,"The bug report was submitted on March 15, 2015."
When was the building permit issued? Provide a date.,DATE,Date,"The building permit was issued on January 1, 1990."
When was the database schema updated? Provide a date.,DATE,Date,"The database schema was updated on January 1, 2001."
When was the incident reported? Provide a date.,DATE,Date,"The incident was reported on October 26, 2017."
When was the initial contract signed? Provide a date.,DATE,Date,"The initial contract was signed on March 30, 1999."
When was the initial design concept finalized? Provide a date.,DATE,Date,The design concept was finalized in September 2000.
When was the last major system upgrade implemented? Provide a date.,DATE,Date,The last major system upgrade was implemented in September 2001.
When was the last performance review conducted? Provide a date.,DATE,Date,The last performance review was conducted in November 2006.
When was the last safety inspection conducted? Provide a date.,DATE,Date,"The last safety inspection was conducted on October 1, 2000."
When was the last security patch implemented? Provide a date.,DATE,Date,"The last security patch was implemented on January 1, 2017."
When was the last software update installed? Provide a date.,DATE,Date,"The latest software update was installed on December 15, 2015."
When was the last system backup performed? Provide a date.,DATE,Date,"The last system backup was in October, 2002."
When was the last time the software was updated? Provide a date.,DATE,Date,The software was last updated in November 2000.
When was the last time you saw a specialist? Provide a date.,DATE,Date,I saw a specialist in January of this year.
When was the last time you updated your profile? Provide a date.,DATE,Date,"I updated my profile on March 18, 2018."
When was the new hardware installed? Provide a date.,DATE,Date,The hardware was installed in March 2002.
When was the product released? Provide a date.,DATE,Date,The product was released in May 2006.
When was the prototype developed? Provide a date.,DATE,Date,The prototype was developed in the late 1990s.
When was the risk assessment completed? Provide a date.,DATE,Date,The risk assessment was completed in April 2017.
When was the service outage reported? Provide a date.,DATE,Date,"The service outage was reported on March 30, 2018."
When was the software license renewed? Provide a date.,DATE,Date,The software license was renewed in May 2017.
When was the system last upgraded? Provide a date.,DATE,Date,The system was last upgraded in December 2009.
When was the system's capacity increased? Provide a date.,DATE,Date,The system's capacity was increased in the 1980s.
When was the system's security policy last reviewed? Provide a date.,DATE,Date,The system's security policy was last reviewed in November 2001.
When was the technical support ticket resolved? Provide a date.,DATE,Date,"The ticket was resolved on January 1, 2002."
When was the user feedback collected? Provide a date.,DATE,Date,We collected user feedback in the mid-1990s.
When was the vulnerability assessment performed? Provide a date.,DATE,Date,The vulnerability assessment was performed in the mid-1980s and mid-1990s.
When was the warranty claim submitted? Provide a date.,DATE,Date,"The warranty claim was filed on December 15, 2000."
When was your last blood pressure check? Provide a date.,DATE,Date,"I had a blood pressure check on November 30, 2001."
When was your last colonoscopy? Provide a date.,DATE,Date,"I had my last colonoscopy on March 30, 2018."
When was your last dental checkup? Provide a date.,DATE,Date,I had my last dental checkup in January.
When was your last eye exam? Provide a date.,DATE,Date,"I had my last eye exam on March 1, 2006."
When was your last hospital visit? Provide a date.,DATE,Date,I was in the hospital for my last visit.
When was your last influenza vaccination? Provide a date.,DATE,Date,"I was vaccinated on March 31, 2001."
When was your last mammogram? Provide a date.,DATE,Date,"I had my last mammogram on March 30, 2018."
When was your last physical examination? Provide a date.,DATE,Date,"I had my last physical examination on March 2, 2001."
When was your last physical therapy appointment? Provide a date.,DATE,Date,"I had my last physical therapy appointment on March 18, 2015."
When was your last pneumonia vaccination? Provide a date.,DATE,Date,"I had my last pneumonia vaccination on January 1, 2001."
