question,type,options,t5_answer_concise,gemini_answer_concise
What date did the equipment malfunction?,DATE,Date,"The equipment malfunctioned on December 31, 1998.", 14/03/2023
What date did the initial deployment occur? Provide a date.,DATE,Date,"The first deployment took place on December 1, 2001.", 25/06/2023
What date did the issue begin? Provide a date.,DATE,Date,"The issue began on January 1, 2001.", 14/03/2023
What date did the order ship? Provide a date.,DATE,Date,"The order was shipped on May 15, 2001.", 20/11/2024
What date did the permit expire? Provide a date.,DATE,Date,"The permit expired on January 1, 2001.", 14/02/2024
What date did the technical issue arise? Provide a date.,DATE,Date,The issue was a technical one., 20/12/2023
What date did the training begin for the new software? Provide a date.,DATE,Date,"The training began on January 1, 2001.", 23/08/2024
What date did the training session conclude? Provide a date.,DATE,Date,"The training session ended on March 30, 2018.", 12/03/2024
What date did you attend the webinar? Provide a date.,DATE,Date,"I attended the webinar on February 18, 2001.", 12/03/2024
What date did you receive the notification about your test results? Provide a date.,DATE,Date,"I received my test results on April 15, 2017.", 12/04/2024
What date did you start feeling unwell? Provide a date.,DATE,Date,"I started feeling unwell on February 7, 2009.", 24/12/2023
What date is the company anniversary? Provide a date.,DATE,Date,The company's anniversary is on October 31st., 12/04/1998
What date is the conference taking place? Provide a date.,DATE,Date,"The conference is scheduled to take place on March 18, 2019.", 20/03/2025
What date is the contract renewal due? Provide a date.,DATE,Date,"The contract renewal is due on March 31, 2019.", 24/12/2025
What date is the deadline for submitting feedback? Provide a date.,DATE,Date,"The deadline for submitting feedback is November 30, 2018.", 24/12/2023
What date is the end of the probationary period? Provide a date.,DATE,Date,"The end of the probationary period ends on December 31, 2018.", 24/03/2025
What date is the next board meeting scheduled for? Provide a date.,DATE,Date,"The next board meeting is on Thursday, March 6, 2018 at 5:00 p.m.", 24/12/2024
What date is the next scheduled backup? Provide a date.,DATE,Date,The next backup is scheduled to take place on January 31st., 12/03/2025
What date is the next staff meeting? Provide a date.,DATE,Date,"The next staff meeting will be on Friday, October 19.", 12/03/2025
What date is the next team-building exercise? Provide a date.,DATE,Date,"The next team-building exercise will be held on Friday, October 29th.", 12/03/2025
What date is your next review scheduled? Provide a date.,DATE,Date,I'm scheduled to review the next review on Friday., 12/03/2025
What date should we schedule the site visit? Provide a date.,DATE,Date,We should schedule a visit on Friday., 14/03/2025
What date was the final testing report submitted? Provide a date.,DATE,Date,"The final testing report was submitted on March 16, 2018.", 12/04/2024
What date was the infrastructure upgrade completed? Provide a date.,DATE,Date,"The upgrade was completed on December 30, 2017.", 12/04/2024
What date was the requirement specification finalized? Provide a date.,DATE,Date,"The requirement specification was finalized on December 15, 2000.", 27/10/2022
What date was the system architecture documented? Provide a date.,DATE,Date,The system architecture was documented in the 1990s., 24/11/2022
What date will the new system be decommissioned? Provide a date.,DATE,Date,"The new system will be decommissioned on January 1, 2020.", 14/03/2024
What date will the system go live? Provide a date.,DATE,Date,"The system will go live on March 31, 2020.", 01/03/2025
What is the cut-off date for registering for the event? Provide a date.,DATE,Date,"The cut-off date for registering for the event is March 18, 2019.", 15/11/2023
What is the date of the next billing cycle? Provide a date.,DATE,Date,"The next billing cycle will start on January 1, 2018 and end on December 31, 2018.", 12/03/2025
What is the date of the next code review? Provide a date.,DATE,Date,"The next code review will take place on January 1, 2020.", 12/03/2025
What is the date of the next performance review? Provide a date.,DATE,Date,"The performance review will be held on Friday, May 2, 2018 at 5:00 p.m.", 12/03/2025
What is the date of the next software review? Provide a date.,DATE,Date,"The next software review will take place on June 30, 2018.", 12/03/2025
What is the date of the next stakeholder meeting? Provide a date.,DATE,Date,"The next stakeholder meeting will be held on January 7, 2018 at 5:00 p.m.", 14/03/2025
What is the date of the next team meeting? Provide a date.,DATE,Date,"The next team meeting will be held on Friday, November 23rd.", 24/11/2023
What is the date of your last prescription refill? Provide a date.,DATE,Date,"I had my last prescription refill on January 1, 2001.", 12/04/2024
What is the date of your last purchase? Provide a date.,DATE,Date,"I bought a new car on January 1, 1998.", 12/04/2024
What is the date of your next appointment? Provide a date.,DATE,Date,I'll be there on Friday., 14/03/2025
What is the date of your next blood test? Provide a date.,DATE,Date,"The next blood test will be on Monday, November 15.", 14/03/2025
What is the date of your next physician consultation? Provide a date.,DATE,Date,"The next physician consultation will be on Tuesday, October 20th.", 12/03/2025
What is the date of your next scheduled check-up? Provide a date.,DATE,Date,I'll be in for a check-up on Friday., 12/03/2025
What is the date of your next scheduled maintenance?,DATE,Date,The next maintenance will be on Friday., 12/03/2025
What is the date of your next scheduled therapy session? Provide a date.,DATE,Date,I'll be there on Friday., 12/03/2025
What is the date of your next software update? Provide a date.,DATE,Date,"The next software update will take place on October 30, 2018.", 12/03/2025
What is the date of your surgery? Provide a date.,DATE,Date,"I had my surgery on May 20, 2001.", 12/03/2025
What is the deadline for submitting the project report? Provide a date.,DATE,Date,"The deadline for submitting a project report is January 1, 2018.", 12/04/2025
What is the deadline for submitting your application? Provide a date.,DATE,Date,"The deadline for submitting your application is January 1, 2018.", 24/12/2023
What is the delivery date? Provide a date.,DATE,Date,The delivery date is October 31st., 12/03/2025
What is the due date for payment? Provide a date.,DATE,Date,"The due date for payment is December 31, 2018.", 24/12/2023
What is the end date of your subscription? Provide a date.,DATE,Date,It's December 31st., 12/03/2025
What is the expected completion date of the current project? Provide a date.,DATE,Date,The project is expected to be completed by the end of the year., 20/03/2025
What is the expected date of project sign-off? Provide a date.,DATE,Date,The project is expected to be signed off by the end of the year., 24/12/2024
What is the expected date of your recovery? Provide a date.,DATE,Date,I will be able to return to work in a few days., 01/03/2025
What is the expected delivery date for the new order? Provide a date.,DATE,Date,"The delivery date for the new order will be March 15, 2019.", 12/03/2025
What is the expiration date of the coupon? Provide a date.,DATE,Date,"The coupon expires on March 30, 2020.", 01/03/2025
What is the implementation date for the new feature? Provide a date.,DATE,Date,The new feature is expected to be implemented by the end of the year., 12/03/2025
What is the invoice date? Provide a date.,DATE,Date,"The invoice date is January 1, 2019.", 20/12/2024
What is the invoice due date? Provide a date.,DATE,Date,"The invoice due date is December 31, 2018.", 27/12/2023
What is the last day to submit expense reports? Provide a date.,DATE,Date,The last day to submit expense reports is December 31st., 24/12/2023
What is the latest date for feedback submission? Provide a date.,DATE,Date,"The latest date for feedback submission is January 1, 2018.", 24/12/2023
What is the planned date for the database migration? Provide a date.,DATE,Date,"The migration will take place on January 1, 2020.", 12/04/2025
What is the planned date for the next release? Provide a date.,DATE,Date,"The next release will be released on March 18, 2019.", 24/03/2025
What is the project completion date? Provide a date.,DATE,Date,"The project completion date is December 31, 2020.", 12/03/2025
What is the project's milestone date? Provide a date.,DATE,Date,"The project's milestone date is January 1, 2020.", 12/04/2025
What is the return deadline? Provide a date.,DATE,Date,"The return deadline is January 1, 2020.", 24/12/2023
What is the start date for the training course? Provide a date.,DATE,Date,"The start date for the training course is January 1, 2020.", 24/03/2025
What is the start date of the new fiscal year? Provide a date.,DATE,Date,"The start date for the new fiscal year is January 1, 2020.", 01/04/2024
What is the target completion date for the current sprint? Provide a date.,DATE,Date,"The target completion date for the current sprint is March 30, 2020.", 27/10/2024
What is the target launch date for the new application? Provide a date.,DATE,Date,"The target launch date for the new application is January 1, 2020.", 12/04/2025
What is the target launch date for the new product? Provide a date.,DATE,Date,"The target launch date for the new product is March 15, 2020.", 12/03/2025
What is the warranty expiration date? Provide a date.,DATE,Date,"The warranty expiration date is December 31, 2018.", 01/04/2024
What is your date of birth? Provide a date.,DATE,Date,"I was born on March 29, 1967.", 14/03/1992
What is your preferred date for a service call? Provide a date.,DATE,Date,I would like to have a service call on Friday., 12/03/2025
When did the development phase conclude? Provide a date.,DATE,Date,"The development phase concluded on May 30, 2005.", 24/12/2022
When did the employee start working for the company? Provide a date.,DATE,Date,It started in the early 1990s and ended in the early 2000s., 24/10/2021
When did the equipment become operational? Provide a date.,DATE,Date,"The equipment became operational on December 31, 1992.", 14/03/2024
When did the event take place? Provide a date.,DATE,Date,"The event took place on April 30, 2019.", 14/03/2023
When did the incident occur? Provide a date.,DATE,Date,"The incident occurred on October 23, 2001.", 01/03/2023
When did the payment process begin? Provide a date.,DATE,Date,The payment process began in the early 1990s., 14/03/2024
When did the performance testing commence? Provide a date.,DATE,Date,"The performance testing began on January 1, 1999.", 23/10/2024
When did the refund process start? Provide a date.,DATE,Date,The refund process started in January., 14/03/2024
When did the server outage begin? Provide a date.,DATE,Date,"The server outage began on December 1, 2001.", 23/10/2023
When did the shipment arrive at the warehouse? Provide a date.,DATE,Date,The shipment arrived at the warehouse on Friday., 12/03/2024
When did the trial period begin? Provide a date.,DATE,Date,"The trial period began on January 1, 2001.", 12/04/2024
When did the user acceptance testing begin? Provide a date.,DATE,Date,We began user acceptance testing in April 2001., 25/07/2023
When did the warranty expire on this piece of equipment? Provide a date.,DATE,Date,"The warranty expires on December 31, 2002.", 01/01/2023
When did you begin experiencing this allergic reaction? Provide a date.,DATE,Date,I began experiencing this allergic reaction in the early 1990s., 14/08/2022
When did you begin experiencing this specific symptom? Provide a date.,DATE,Date,I began experiencing this specific symptom in the early 1990s., 14/08/2023
When did you begin taking this new medication? Provide a date.,DATE,Date,I began taking this medication in January of this year., 14/07/2024
When did you begin this new exercise regimen? Provide a date.,DATE,Date,I began this new exercise regimen in January of this year., 24/10/2022
When did you complete the online form? Provide a date.,DATE,Date,"I completed the online form on March 8, 2013.", 01/03/2024
When did you complete the survey? Provide a date.,DATE,Date,"I completed the survey on March 1, 2012.", 27/11/2023
When did you complete your prescribed rehabilitation? Provide a date.,DATE,Date,"I completed my rehabilitation on October 30, 2015.", 12/03/2024
When did you experience a significant change in your health condition? Provide a date.,DATE,Date,I experienced a significant change in my health condition at the age of 35., 14/03/2021
When did you experience the onset of this condition? Provide a date.,DATE,Date,I experienced the onset of this condition in the early 1990s., 24/12/2021
When did you first encounter this problem? Provide a date.,DATE,Date,I first encountered this problem when I was a child., 14/03/2024
When did you first experience these symptoms? Provide a date.,DATE,Date,I first experienced these symptoms in the early 1980s., 24/12/2022
When did you first notice this skin condition? Provide a date.,DATE,Date,I first noticed this skin condition in the early 1990s., 24/10/2021
When did you last consume alcohol? Provide a date.,DATE,Date,I last consumed alcohol in August of last year., 14/03/2023
When did you last contact customer support? Provide a date.,DATE,Date,"I spoke to customer support on November 30, 2017.", 14/11/2023
When did you last have a flu shot? Provide a date.,DATE,Date,I last had a flu shot in October., 12/01/2023
When did you last have a significant injury? Provide a date.,DATE,Date,I last had a serious injury in January of last year., 01/04/2022
When did you last see a mental health professional? Provide a date.,DATE,Date,I last saw a mental health professional in March of this year., 14/08/2022
When did you last undergo a medical imaging procedure? Provide a date.,DATE,Date,"I had a medical imaging procedure on May 1, 2001.", 14/03/2023
When did you last update your health information? Provide a date.,DATE,Date,I last updated my health information in April of last year., 01/03/2023
When did you last visit the emergency room? Provide a date.,DATE,Date,I went to the emergency room in the morning., 14/03/2023
When did you purchase our product? Provide a date.,DATE,Date,We purchased our product in March of last year., 12/03/2023
When did you receive the confirmation email? Provide a date.,DATE,Date,"I received the email on March 28, 2013.", 14/03/2024
When did you receive the initial diagnosis? Provide a date.,DATE,Date,"I received the initial diagnosis on March 15, 1994.", 14/07/2022
When did you receive the product? Provide a date.,DATE,Date,"I received the product on December 15, 2013.", 01/03/2024
When did you receive the results of your latest tests? Provide a date.,DATE,Date,"I received the results on January 1, 2018.", 14/03/2023
When did you receive your first shipment? Provide a date.,DATE,Date,"I received my first shipment on January 1, 2000.", 12/03/2023
When did you register your account? Provide a date.,DATE,Date,"I registered my account on March 18, 2001.", 14/08/2023
When did you sign the contract? Provide a date.,DATE,Date,"I signed the contract on April 1, 1992.", 24/10/2022
When did you start experiencing pain in this area? Provide a date.,DATE,Date,I started experiencing pain in this area in January of this year., 27/06/2022
When did you start experiencing shortness of breath? Provide a date.,DATE,Date,I started experiencing shortness of breath in the early 1990's., 24/03/2023
When did you start this medication? Provide a date.,DATE,Date,I started taking this medication in the fall of 2001., 14/07/2023
When did you start this new diet? Provide a date.,DATE,Date,I started this new diet in January of this year., 14/03/2024
When did you start using our service? Provide a date.,DATE,Date,I started using our service in June of 2001., 14/07/2023
When did you stop smoking? Provide a date.,DATE,Date,I stopped smoking in the early 1980s., 01/01/2020
When did you submit your order? Provide a date.,DATE,Date,"I submitted my order on March 30, 2013.", 14/03/2024
When did you subscribe to the service? Provide a date.,DATE,Date,"I subscribed to the service on March 1, 2013.", 14/07/2023
When did your symptoms begin to improve? Provide a date.,DATE,Date,I started to feel better in the early part of the year., 27/11/2023
When is the annual general meeting? Provide a date.,DATE,Date,The annual general meeting is held on the first Friday in May., 25/12/2023
When is the conference scheduled? Provide a date.,DATE,Date,The conference is scheduled to start at 8:00 a.m., 12/03/2025
When is the deadline for submitting the report? Provide a date.,DATE,Date,"The deadline for submitting the report is March 1, 2017.", 24/12/2023
When is the deadline for the project bid? Provide a date.,DATE,Date,"The deadline is January 1, 2020.", 25/10/2024
When is the deadline for the project completion? Provide a date.,DATE,Date,"The deadline for completion of the project is October 31, 2018.", 12/03/2025
When is the deadline for the proposal submission? Provide a date.,DATE,Date,"The deadline for submission of a proposal is March 30, 2018.", 25/10/2024
When is the next budget review scheduled? Provide a date.,DATE,Date,"The next budget review is scheduled for December 31, 2017.", 24/03/2025
When is the next holiday? Provide a date.,DATE,Date,"The next holiday will be on Friday, December 23rd.", 25 December 2023
When is the next quality control inspection scheduled? Provide a date.,DATE,Date,"The next inspection is scheduled for April 1, 2020.", 24/12/2023
When is the next safety training scheduled? Provide a date.,DATE,Date,The next safety training is scheduled for April 1., 12/03/2025
When is the next scheduled audit? Provide a date.,DATE,Date,"The next audit will be scheduled on Friday, October 23rd.", 12/03/2025
When is the next scheduled maintenance window? Provide a date.,DATE,Date,The next maintenance window is scheduled for June 1., 12/03/2025
When is the next scheduled maintenance? Provide a date.,DATE,Date,"The next maintenance is scheduled for Monday, February 6, 2018.", 27/03/2025
When is the next scheduled system backup? Provide a date.,DATE,Date,"The next system backup is scheduled for November 30, 2017.", 12/03/2025
When is the next software release planned? Provide a date.,DATE,Date,The next software release is scheduled to be released in mid-2017., 20/03/2025
When is the next technology audit scheduled? Provide a date.,DATE,Date,"The next technology audit is scheduled for June 30, 2018.", 12/03/2025
When is the payment due? Provide a date.,DATE,Date,"The payment is due on March 30, 2019.", 14/03/2025
When is your next appointment? Provide a date.,DATE,Date,I'll be there on Friday., 14/03/2025
When is your preferred date for delivery? Provide a date.,DATE,Date,I prefer to receive my food on Friday., 12/12/2024
When is your preferred shipping date? Provide a date.,DATE,Date,I would like to ship on Friday., 12/03/2025
When was the account created? Provide a date.,DATE,Date,When was the account created?, 12/04/2023
When was the bug report submitted? Provide a date.,DATE,Date,"The bug report was submitted on March 7, 2018.", 27/12/2022
When was the building permit issued? Provide a date.,DATE,Date,"The building permit was issued on January 1, 1967.", 12/03/2023
When was the database schema updated? Provide a date.,DATE,Date,"The database schema was updated on January 1, 2000.", 14/03/2024
When was the incident reported? Provide a date.,DATE,Date,"The incident was reported on December 20, 2012.", 14/03/2023
When was the initial contract signed? Provide a date.,DATE,Date,"The initial contract was signed on January 1, 1999.", 12/04/2021
When was the initial design concept finalized? Provide a date.,DATE,Date,The initial design concept was finalized in April 2001., 20/10/2021
When was the last major system upgrade implemented? Provide a date.,DATE,Date,The last major system upgrade was implemented in March 2003., 14/10/2022
When was the last performance review conducted? Provide a date.,DATE,Date,"The last performance review was conducted on January 30, 2015.", 14/10/2022
When was the last safety inspection conducted? Provide a date.,DATE,Date,"The last safety inspection was conducted on December 30, 2005.", 14/07/2022
When was the last security patch implemented? Provide a date.,DATE,Date,"The last security patch was implemented on December 11, 2002.", 12/03/2024
When was the last software update installed? Provide a date.,DATE,Date,"The last software update was installed in March, 2018.", 12/04/2024
When was the last system backup performed? Provide a date.,DATE,Date,The last system backup was completed in January 2001., 14/03/2024
When was the last time the software was updated? Provide a date.,DATE,Date,The software was updated in the year 2000., 12/04/2022
When was the last time you saw a specialist? Provide a date.,DATE,Date,"I saw a specialist on January 3, 2013.", 14/07/2023
When was the last time you updated your profile? Provide a date.,DATE,Date,"I updated my profile on January 30, 2019.", 14/03/2024
When was the new hardware installed? Provide a date.,DATE,Date,The hardware was installed in April of this year., 12/04/2024
When was the product released? Provide a date.,DATE,Date,The product was released in March of that year., 27/03/2023
When was the prototype developed? Provide a date.,DATE,Date,The prototype was developed in the early 1990s., 24/12/2021
When was the risk assessment completed? Provide a date.,DATE,Date,"The risk assessment was completed on October 1, 2001.", 24/12/2022
When was the service outage reported? Provide a date.,DATE,Date,"The service outage was reported on December 7, 2017.", 2023-11-15
When was the software license renewed? Provide a date.,DATE,Date,"The software license was renewed on March 1, 2018.", 12/04/2024
When was the system last upgraded? Provide a date.,DATE,Date,The system was last upgraded in January 2006., 01/01/2022
When was the system's capacity increased? Provide a date.,DATE,Date,The system's capacity was increased in January 2000., 12/04/2022
When was the system's security policy last reviewed? Provide a date.,DATE,Date,The system's security policy was last reviewed in March 2003., 14/07/2022
When was the technical support ticket resolved? Provide a date.,DATE,Date,Today., 14/03/2024
When was the user feedback collected? Provide a date.,DATE,Date,It was collected in the mid-1990s., 27/03/2023
When was the vulnerability assessment performed? Provide a date.,DATE,Date,"The vulnerability assessment was performed on June 15, 2002.", 27/12/2022
When was the warranty claim submitted? Provide a date.,DATE,Date,"The warranty claim was filed on December 13, 1999.", 14/03/2023
When was your last blood pressure check? Provide a date.,DATE,Date,I had a blood pressure check on Friday., 14/03/2023
When was your last colonoscopy? Provide a date.,DATE,Date,I haven't had a colonoscopy for over a year., 14/07/2021
When was your last dental checkup? Provide a date.,DATE,Date,"I had my last dental checkup on January 1, 2001.", 14/08/2022
When was your last eye exam? Provide a date.,DATE,Date,"I had my last eye exam on October 29, 2001.", 14/03/2023
When was your last hospital visit? Provide a date.,DATE,Date,"I went to the hospital on October 12, 2013.", 14/03/2023
When was your last influenza vaccination? Provide a date.,DATE,Date,"I was vaccinated on October 1, 2002, and I was vaccinated on January 1, 2002.", 12/11/2021
When was your last mammogram? Provide a date.,DATE,Date,"I had my last mammogram on January 1, 2002.", 03/04/2023
When was your last physical examination? Provide a date.,DATE,Date,"I had my last physical examination on March 29, 2002.", 14/08/2023
When was your last physical therapy appointment? Provide a date.,DATE,Date,"I had my last physical therapy appointment on March 30, 2013.", 14/08/2023
When was your last pneumonia vaccination? Provide a date.,DATE,Date,"I had my last pneumonia vaccination on March 1, 2001.", 12/04/2021
When was your last tetanus shot? Provide a date.,DATE,Date,I had my last tetanus shot in April of last year., 14/07/2021
When will the product be ready for pickup? Provide a date.,DATE,Date,It will be ready for pickup in about a week., 12/03/2025
How many attendees are expected at the conference?,NUMBER,attendee count,There are a lot of people expected at the conference., 1200
How many books did you read last year?,NUMBER,books read,I read a lot of books last year., 12
How many chapters are in this document?,NUMBER,chapter count,There are 12 chapters., Five chapters.
How many children are in your household?,NUMBER,number of children,I have three children., Two.
How many credit cards do you have?,NUMBER,credit card count,I have one., Two.
How many cups of coffee do you drink daily?,NUMBER,coffee consumption,I drink about two cups of coffee a day., Two.
How many customer complaints were received this quarter?,NUMBER,customer complaints,0 complaints., 35 complaints.
How many days a week do you exercise?,NUMBER,exercise frequency,I exercise for 7 days a week., Seven.
How many days are left until the deadline?,NUMBER,days until deadline,0 days., 12 days left.
How many days of vacation did you take last year?,NUMBER,vacation days,I took 4 days of vacation last year., 10
How many different product lines does the company manufacture?,NUMBER,product line count,The company manufactures a variety of products., Seven.
How many employees are in the department?,NUMBER,employee count,"There are about 2,000 employees in the department.", 15
How many employees work here?,NUMBER,employee count,We have a lot of employees., 123
How many hours did you work this week?,NUMBER,work hours,I worked a total of 9 hours this week., 37.5 hours
How many hours of TV do you watch weekly?,NUMBER,TV watching time,I watch about 20 hours of TV a week., 7 hours.
How many hours of sleep do you get per night?,NUMBER,sleep duration,I get 8 hours of sleep per night., Seven.
How many hours of training were provided to employees last year?,NUMBER,training hours,"There were over 2,000 hours of training provided to employees last year.", 1250 hours
How many hours per week do you work?,NUMBER,work hours,I work ten hours a week., 37.5
How many items are in the cart?,NUMBER,item count,There are a lot of items in the cart., 12
How many kilograms does this weigh?,NUMBER,weight,I don't know. I don't know how many kilograms it weighs., 10 kg
How many kilometers did you drive?,NUMBER,distance,I drove a lot of kilometers., 137 km
How many languages do you speak?,NUMBER,languages spoken,I speak ten languages., 100+
How many marketing campaigns were run last year?,NUMBER,marketing campaigns,I think it's a lot of marketing., 27
How many meetings did you attend this week?,NUMBER,meeting count,I attended three meetings this week., Three.
How many new projects were initiated this year?,NUMBER,project count,There were a total of 10 new projects this year., 12 projects.
How many pages are in this book?,NUMBER,page count,The book has a total of 97 pages., 212
How many pairs of shoes do you own?,NUMBER,number of shoes,I own two pairs of shoes., Three.
How many people are in your household?,NUMBER,household size,I have ten people in my household., Two.
How many pets do you own?,NUMBER,number of pets,I have two dogs., Two.
How many points did the team score?,NUMBER,score,0 points., 21
How many products have you purchased from us?,NUMBER,purchase count,I haven't bought anything from us in a while., Seven.
How many products were sold last month?,NUMBER,product sales,We sold a lot of products last month., 2342 products.
How many project milestones were achieved last quarter?,NUMBER,milestone count,Two milestones were achieved last quarter., 12
How many proposals were submitted this month?,NUMBER,proposals submitted,There were ten proposals submitted this month., 12 proposals submitted.
How many rooms are in your home?,NUMBER,number of rooms,I have a lot of rooms., Five.
How many safety incidents occurred this year?,NUMBER,safety incidents,0 incidents occurred this year., 27
How many safety training sessions were conducted last quarter?,NUMBER,training sessions,The last quarter was the fourth quarter., 27
How many shares of stock do you own?,NUMBER,stock shares,I own a lot of stock., 1000
How many siblings do you have?,NUMBER,sibling count,I have two., Three.
How many skilled laborers are employed in the plant?,NUMBER,labor count,The plant employs a large number of skilled laborers., 72
How many social media accounts do you have?,NUMBER,social media accounts,I have two., Two.
How many social media followers do we have?,NUMBER,social media followers,We have a lot of followers on social media.," 5,782,109"
How many suppliers does the company currently have?,NUMBER,supplier count,The company currently has 3 suppliers., 35
How many times have you contacted customer support this year?,NUMBER,support contact frequency,I've contacted customer support five times this year., Three.
How many times have you traveled internationally?,NUMBER,international travels,I've traveled a lot., Three.
How many times have you visited our website this month?,NUMBER,website visits,I've been here a few times., Two.
How many tons of coal are consumed per day?,NUMBER,fuel consumption,I'm not sure how many tons are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day. I'm not sure how many tons of coal are consumed per day.,"  Approximately 8,500,000 tons."
How many tons of steel were produced last quarter?,NUMBER,production output,The total number of tons of steel produced last quarter was 2.2 million tons., 1200 tons
How many tons of waste were generated last month?,NUMBER,waste generation,The number of tons of waste generated in a month was a few thousand tons., 1789 tons
How many vacation days did you take last year?,NUMBER,vacation days,I took a total of 8 days of vacation last year., Ten.
How many vehicles do you own?,NUMBER,vehicle count,I own a lot of cars., Two.
How many votes did the candidate receive?,NUMBER,vote count,We were able to get a lot of votes.," 12,789 votes"
How many years have you been a customer?,NUMBER,customer tenure,I've been a customer for over 10 years., Three.
How many years of education do you have?,NUMBER,years of education,I have ten years of education., 12
How many years of experience do you have?,NUMBER,experience years,I have ten years of experience., 12 years
How much did you spend on our products last month?,NUMBER,monthly spending,I spent about $600 on our products last month., $275
"On a scale of 1 to 10, how satisfied are you with our service?",NUMBER,satisfaction rating,I'm satisfied with the service., Seven.
"On a scale of 1-5, how likely are you to recommend us?",NUMBER,recommendation likelihood,I'm very likely to recommend you., 4
What is the account balance?,NUMBER,balance,The balance is the balance of the account., $37.50
What is the age of the participant?,NUMBER,age,I'm 18 years old., 32
What is the altitude in meters?,NUMBER,altitude,"The altitude is about 2,000 meters above sea level.", 1200 meters
What is the amount of the loan?,NUMBER,loan amount,$1 million.," $12,500"
What is the annual budget for employee training and development?,NUMBER,training budget,"The annual budget for employee training and development is $30,000 per year."," $2,000,000"
What is the annual revenue target?,NUMBER,revenue,The annual revenue target is $2.2 billion., Five million dollars.
What is the average age of the machinery in years?,NUMBER,machinery age,The machinery has been in operation for more than a century., 12 years.
What is the average cost per unit produced?,NUMBER,production cost,The average cost per unit produced is $1.50 per unit., Production cost divided by units produced equals average cost per unit.
What is the average customer lifetime value?,NUMBER,customer lifetime value,Average customer lifetime value is a customer's lifetime value., $1200
What is the average daily energy consumption in kWh?,NUMBER,energy consumption,Average daily energy consumption in kWh., 18 kWh
What is the average deal size in dollars?,NUMBER,deal size,The average deal size in dollars is $1000.," $275,000"
What is the average employee satisfaction rating (out of 5)?,NUMBER,employee satisfaction,Average satisfaction rating is 5 out of 5., 4.2
What is the average employee tenure in years?,NUMBER,employee tenure,The average tenure in years is 5 years., 3.5 years.
What is the average lead time for order fulfillment in days?,NUMBER,lead time,The average lead time for order fulfillment in days is 3 days., 3 days
What is the average length of a production run in hours?,NUMBER,production run length,The average length of a production run in hours is 12 hours., 48 hours
What is the average machine downtime in hours per week?,NUMBER,machine downtime,The average machine downtime per week is 3 hours per week., 2.5 hours.
What is the average order value?,NUMBER,average order value,The average order value is a dollar., $120
What is the average production yield percentage?,NUMBER,production yield,Average production yield percentage., 82%
What is the average response time to customer inquiries?,NUMBER,response time,The average response time is a few minutes., 12 hours.
What is the capacitance in farads?,NUMBER,capacitance,The capacitance of a farad is about a tenth of a farad's power., 0.000025 F
What is the client account number?,NUMBER,account number,The client account number is 1., 87654321
What is the closing rate for sales leads (as a percentage)?,NUMBER,closing rate,The closing rate for sales leads (as a percentage) is 80%.,  5%
What is the code number?,NUMBER,code,The code number is 00., 137
What is the company's overall safety rating score?,NUMBER,safety rating,The company's overall safety rating score is 79., 98
What is the company's tax ID number?,NUMBER,tax ID,501., 1234567890
What is the conversion rate percentage?,NUMBER,conversion rate,The conversion rate is about a tenth of a percent., 15%
What is the current in amperes?,NUMBER,current,The current in amperes is constant., 12 amps.
