Context,Generated Q&A
generate question: ['resistance'] NUMBER verbose,Question: What is your resistance level? Provide a number. Answer: I'm not sure what the resistance level is.
"generate question: ['Increasing revenue', ' Reducing costs', ' Improving efficiency', ' Investing in technology', ' Improving pricing strategies'] MULTI-SELECT colloquial",Question: What are your company's strategies for reducing costs? Answer: We're focusing on reducing costs. We're also focusing on improving pricing strategies.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Logo Design', ' Website Design', ' Branding Design', ' UI/UX Design', ' Print Design'] SINGLE-SELECT verbose",Question: What is your preferred design style? Answer: I prefer UI/UX design to branding design. I prefer UI/UX design.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['altitude'] NUMBER colloquial,"Question: What is the altitude of the aircraft? Answer: The altitude of the aircraft is approximately 2,000 feet. The altitude of the aircraft is approximately 2,000 feet. The altitude of the aircraft is approximately 2,000 feet."
generate question: ['recommendation likelihood'] NUMBER colloquial,"Question: What is your recommendation likelihood? Provide a number. Answer: I'm not sure if it's a good idea, but it's a good idea."
"generate question: ['Integrity', ' Innovation', ' Customer focus', ' Teamwork', ' Sustainability'] MULTI-SELECT colloquial","Question: What are your company's key strengths? Answer: Innovation, customer focus, teamwork."
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['pressure'] NUMBER explanatory,Question: What is your pressure level? Provide a number. Answer: The pressure level is very low.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Package managers', ' Dependency injection'] MULTI-SELECT explanatory",Question: What is your experience with dependency injection? Answer: Dependency injection is one of the most common types of dependency injection. Dependency injection is the most common form of dependency injection. Dependency injection is the most common form of dependency injection. Dependency injection is the most common form of dependency injection.
"generate question: ['AWS', ' Azure', ' Google Cloud Platform'] MULTI-SELECT explanatory",Question: What cloud platform do you use? Answer: Google Cloud Platform.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Yes', ' No'] SINGLE-SELECT explanatory",Question: Would you like to know if you have any suggestions? Answer: I would like to hear from you.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Email', ' Online Survey', ' In-person Meeting'] SINGLE-SELECT verbose",Question: What is your preferred method of communication? Answer: Email.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Paintings', ' Sculptures', ' Prints', ' Photographs', ' Digital Art'] SINGLE-SELECT annoyed","Question: What are your favorite digital art mediums? Answer: Prints, Prints, Digital Art."
"generate question: ['JSDoc', ' Javadoc', ' Sphinx', ' Doxygen'] MULTI-SELECT verbose","Question: What tools do you use to create a web application? Answer: I use JSDoc, Sphinx, and Doxygen."
"generate question: ['Expanding into new markets', ' Developing new products or services', ' Acquiring other companies', ' Improving operational efficiency', ' Investing in research and development'] MULTI-SELECT concise",Question: What are your company's goals for the future? Answer: We're focusing on expanding into new markets. We're also investing in research and development.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['number of rooms'] NUMBER verbose,Question: How many rooms do you have? Answer: I have a number of rooms.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Basic research', ' Applied research', ' Development', ' Innovation', ' Technology transfer'] MULTI-SELECT verbose","Question: What types of research activities are you most interested in? Answer: Basic research, applied research, and technology transfer."
"generate question: ['Agile', ' Waterfall', ' Lean', ' Kanban', ' Scrum'] MULTI-SELECT verbose","Question: What Agile methodologies do you use? Answer: Agile, Kanban, Waterfall."
generate question: ['maintenance count'] NUMBER annoyed,Question: What is the maintenance count? Provide a number. Answer: The maintenance count is based on the maintenance count. The maintenance count is based on the maintenance count. The maintenance count is based on the maintenance count.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Blog posts', ' Case studies', ' White papers', ' Webinars', ' Ebooks', ' Infographics'] MULTI-SELECT annoyed",Question: What types of content do you use for your blog posts? Answer: I use a lot of content for my blog posts. I also use a lot of white papers.
"generate question: ['Lack of clarity', ' Lack of responsiveness', ' Misunderstandings', ' Information overload', ' Other'] SINGLE-SELECT verbose","Question and answer: What are your biggest challenges? Answer: Lack of clarity, misunderstandings, information overload."
generate question: ['order number'] NUMBER colloquial,Question: What is your order number? Provide a number. Answer: It's a number.
generate question: ['number of rooms'] NUMBER explanatory,Question: How many rooms do you have? Answer: I have a number of rooms.
"generate question: ['Code reviews', ' Static analysis', ' Unit testing', ' Integration testing', ' Code style guidelines'] MULTI-SELECT colloquial",Generate a question and answer: What are your preferred methods for code reviews? Provide a short description of your preferred methods for code reviews.
"generate question: ['Web development', ' Mobile app development', ' Data science', ' Machine learning', ' Artificial intelligence', ' Game development', ' Software engineering'] MULTI-SELECT verbose",Question: What is your favorite field of expertise? Answer: Machine learning is my favorite field of expertise. It's my favorite field of expertise.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Direct and concise', ' Detailed and thorough', ' Collaborative and interactive', ' Formal and professional', ' Informal and friendly'] MULTI-SELECT colloquial",Question: What are your preferred methods of communication? Answer: It's a collaborative environment. It's a collaborative environment.
generate question: ['price'] NUMBER concise,Generate a question and answer: What is the price? Provide a quote.
generate question: ['product line count'] NUMBER colloquial,Question: What is the product line count? Answer: The product line count is the product line count.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Healthcare', ' Finance', ' Technology', ' Education', ' Retail', ' Manufacturing'] MULTI-SELECT concise","Question: What industries do you work in? Answer: I work in a variety of industries, including healthcare, retail, and manufacturing."
"generate question: ['Revenue generated', ' Number of deals closed', ' Average deal size', ' Sales cycle length', ' Customer acquisition cost (CAC)'] MULTI-SELECT colloquial",Question: How many deals have you closed? Answer: The number of deals closed is based on the number of deals closed. The number of deals closed is based on the number of deals closed. The number of deals closed is based on the number of deals closed.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Take a break', ' Seek inspiration from others', ' Experiment with new techniques', ' Change my environment', ' Try a different approach'] SINGLE-SELECT annoyed",Question: What advice would you give to someone who needs help? Answer: I'm not sure what to give to someone who needs help.
"generate question: ['Providing excellent customer service', ' Developing a strong brand identity', ' Creating engaging content', ' Building a strong online presence', ' Running loyalty programs'] MULTI-SELECT verbose",Question: What are your company's goals for the future? Answer: We're focused on building a strong brand identity and building a strong online presence. We're also focused on running loyalty programs.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Constructive Criticism', ' Positive Reinforcement', ' Peer Reviews', ' Client Feedback', ' Public Opinion'] SINGLE-SELECT colloquial","Question: What types of feedback do you receive from your clients? Answer: Positive Reinforcement, Peer Reviews, Public Opinion."
generate question: ['revenue'] NUMBER verbose,Question: What is the total amount of revenue generated? Answer: The total amount of revenue generated by the project is approximately $1 million. The total amount of revenue generated by the project is approximately $1 million. The total amount of revenue generated by the project is approximately $1 million.
generate question: ['quantity'] NUMBER explanatory,Question: What is the quantity of the product? Provide a number. Answer: The quantity of the product is the same as the quantity of the product. The quantity of the product is the same as the quantity.
generate question: ['purchase count'] NUMBER verbose,Question: What is the purchase count? Provide a number. Answer: The purchase count is based on the number of units purchased. The purchase count is based on the number of units purchased.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Microservices', ' Monolithic', ' Layered', ' Event-driven'] MULTI-SELECT annoyed","Question: What is your preferred approach to managing your data? Answer: Monolithic, Event-driven, Event-driven."
"generate question: ['VS Code', ' IntelliJ IDEA', ' Eclipse', ' Sublime Text', ' Atom'] MULTI-SELECT annoyed",Question: What is your favorite programming language? Answer: I love Eclipse.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['TV watching time'] NUMBER explanatory,Question: How long have you been watching TV? Answer: It's been a while.
"generate question: ['Frontend Developer', ' Backend Developer', ' Fullstack Developer', ' Data Scientist', ' Project Manager'] SINGLE-SELECT concise",Question: What is your background as a Data Scientist? Answer: I'm a Data Scientist. I'm a Data Scientist.
generate question: ['current'] NUMBER annoyed,Question: What is your current situation? Provide a list. Answer: I'm not sure what's going on at the moment.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Web Application', ' Mobile Application', ' Desktop Application', ' Game', ' Library'] SINGLE-SELECT verbose",Question: What is your favorite mobile application? Answer: I'm a big fan of mobile applications.
generate question: ['balance'] NUMBER explanatory,Question: What is the balance? Provide a number. Answer: It's a balance.
generate question: ['employee count'] NUMBER annoyed,Question: What is the employee count? Provide a number. Answer: The employee count is the number of people who work for the company. The number of people who work for the company is the number of people who work for it. The number of people who work for the company is the number of people who work for it.
generate question: ['budget'] NUMBER explanatory,Question: What is your budget? Provide a number. Answer: It's a lot of money.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT colloquial",Question: What is your level of knowledge? Answer: I'm a beginner.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Daily', ' Weekly', ' Monthly', ' As needed'] SINGLE-SELECT verbose",Question: How often do you check your email? Answer: I check my email frequently.
generate question: ['safety rating'] NUMBER concise,Generate a question and answer: What is your safety rating? Provide a number.
"generate question: ['Male', ' Female', ' Other', ' Prefer not to say'] SINGLE-SELECT concise","Question: What is your gender? Answer: I'm a female, I'm a male, I'm a female."
"generate question: ['Just-in-time (JIT) inventory', ' Vendor managed inventory (VMI)', ' Supplier relationship management (SRM)', ' Risk management', ' Supply chain diversification'] MULTI-SELECT concise",Question: What is your company's strategy for managing supply chain diversification? Answer: It's all about managing supply chain diversification. It's about managing supply chain diversification.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['customer churn'] NUMBER verbose,Question: What is the customer churn rate? Answer: The customer churn rate is high.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['purchase count'] NUMBER concise,Question: What is the purchase count? Provide a number. Answer: The purchase count is based on the number of units purchased. The purchase count is based on the number of units purchased.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['JUnit', ' pytest', ' NUnit', ' Mocha', ' Jest'] SINGLE-SELECT colloquial","Question: What tools do you use to test your code? Answer: I use pytest, pytest, pytest, pytest."
"generate question: ['Profiling', ' Algorithmic improvements', ' Data structure optimization', ' Code refactoring'] MULTI-SELECT colloquial",Question: What are your main areas of expertise? Answer: Data structure optimization.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Diversifying suppliers', ' Developing strong supplier relationships', ' Implementing supplier performance management systems', ' Developing contingency plans', ' Monitoring geopolitical events'] MULTI-SELECT concise",Question: What are your main areas of expertise? Answer: Diversifying suppliers.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['meeting count'] NUMBER colloquial,Question: What is your meeting count? Provide a number. Answer: It's a number.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT verbose",Question: What is your level of knowledge? Answer: I'm a beginner.
generate question: ['tax ID'] NUMBER explanatory,Question: What is your tax ID number? Provide a number. Answer: Your tax ID number is the same as your tax ID number.
"generate question: ['Providing opportunities for professional development', ' Creating a positive work environment', ' Offering competitive compensation and benefits', ' Encouraging teamwork and collaboration', ' Recognizing and rewarding employees'] MULTI-SELECT concise",Question: What are your company's goals for the future? Answer: We're committed to creating a positive work environment. We're committed to providing opportunities for professional development.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['client count'] NUMBER colloquial,Question: What is the client count? Provide a number. Answer: The client count is the number of clients.
"generate question: ['Integrated Development Environments (IDEs)', ' Source code management tools', ' Build tools', ' Testing frameworks', ' Debugging tools'] MULTI-SELECT explanatory",Question: What are your favorite IDEs? Answer: Integrated Development Environments (IDEs) are my favorite.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Amazon Web Services (AWS)', ' Microsoft Azure', ' Google Cloud Platform (GCP)', ' IBM Cloud', ' Oracle Cloud'] MULTI-SELECT explanatory","Question: What cloud platforms do you use? Answer: Microsoft Azure, IBM Cloud Platform (GCP), Oracle Cloud."
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Price', ' Features', ' Customer Support', ' Ease of Use'] SINGLE-SELECT verbose",Question: What are your company's features? Answer: We're looking for a solution. We're looking for a solution. We're looking for a solution.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT concise",Question: What is your level of knowledge? Answer: I'm a beginner.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['blood pressure'] NUMBER verbose,Question: What is your blood pressure? Provide a number. Answer: My blood pressure is very high.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['GitHub', ' GitLab', ' Bitbucket'] SINGLE-SELECT verbose","Question: What tools do you use to manage your projects? Answer: I use GitLab, GitLab and Bitbucket."
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Text'] TEXT concise,Generate a question and answer
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT explanatory","Question: What is your level of knowledge? Answer: I'm a beginner, intermediate, and advanced."
generate question: ['R&D expenditure'] NUMBER explanatory,Question: What is the total expenditure on R&D? Answer: The total expenditure on R&D expenditure is approximately $1.5 billion. The total expenditure on R&D expenditure is approximately $1.2 billion. The total expenditure on R&D expenditure is approximately $1.2 billion. The total expenditure on R&D expenditure is approximately $1.2 billion. The total expenditure on R&D expenditure is approximately $1.2 billion.
"generate question: ['Design Blogs', ' Design Magazines', ' Social Media', ' Industry Conferences', ' Design Workshops'] SINGLE-SELECT colloquial",Question: What are your favorite design magazines? Answer: I love design magazines.
"generate question: ['First-In, First-Out (FIFO)', ' Last-In, First-Out (LIFO)', ' Weighted-Average Cost', ' Specific Identification', ' Inventory Management Software'] MULTI-SELECT concise",Question: What is the weighted-average cost of inventory management software? Answer: The weighted-average cost of inventory management software is the most expensive in the world.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Revenue', ' Profit margin', ' Customer acquisition cost', ' Customer lifetime value', ' Customer satisfaction'] MULTI-SELECT explanatory",Question: What is the customer acquisition cost? Answer: Customer acquisition cost is the most important factor in determining customer satisfaction. Customer acquisition cost is the most important factor in determining customer satisfaction.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Competitive compensation and benefits', ' Opportunities for professional development', ' Positive work environment', ' Flexible work arrangements', ' Strong company culture'] MULTI-SELECT verbose",Question: What are your company's goals for the future? Answer: We're committed to providing a positive work environment for our employees. We're committed to providing a positive work environment for our employees. We're also committed to providing opportunities for professional development.
"generate question: ['JUnit', ' Pytest', ' Jest', ' Mocha'] MULTI-SELECT explanatory",Question: What is your preferred method of testing? Answer: I prefer Pytest to JUnit.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['interest rate'] NUMBER colloquial,Question: What is the interest rate? Provide a number. Answer: The interest rate is the highest in the world.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT concise",Question: What is your level of knowledge? Answer: I'm a beginner.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT colloquial",Question: What is your level of knowledge? Answer: I'm a beginner.
"generate question: ['Small Businesses', ' Large Corporations', ' Non-profits', ' Individuals', ' Government Agencies'] SINGLE-SELECT concise","Question: What types of businesses do you represent? Answer: Small businesses, non-profits, government agencies."
generate question: ['sales target'] NUMBER verbose,Question: What is your sales target? Provide a number. Answer: The sales target is a sales target.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Male', ' Female', ' Other', ' Prefer not to say'] SINGLE-SELECT verbose","Question: What is your gender? Answer: I'm a female, I'm a male, I'm a female."
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
"generate question: ['Online courses', ' Books', ' Conferences', ' Workshops', ' Mentorship', ' Self-study'] MULTI-SELECT concise","Question: What are your favorite online courses? Answer: Online courses, workshops, and self-study."
generate question: ['score'] NUMBER annoyed,Question: What is your score? Provide a score. Answer: It's a good score.
"generate question: ['Integrated Development Environments (IDEs)', ' Source code management tools', ' Build tools', ' Testing frameworks', ' Debugging tools'] MULTI-SELECT concise",Question: What are your favorite IDEs? Answer: Integrated Development Environments (IDEs) are my favorite.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['active users'] NUMBER explanatory,Question: How many active users do you have? Provide a list of active users. Answer: I have a lot of active users.
"generate question: ['Trucks', ' Rail', ' Ships', ' Pipelines', ' Air'] MULTI-SELECT verbose","Question: What types of transportation services do you use? Answer: I use Rail, Pipelines, and Air."
generate question: ['active users'] NUMBER colloquial,Question: How many active users do you have? Provide a list of active users. Answer: I have a lot of active users.
"generate question: ['Difficulty identifying qualified leads', ' Inefficient lead follow-up', ' Lack of visibility into the sales pipeline', ' Poor lead data quality', ' Lack of reporting and analytics'] MULTI-SELECT concise","Question: What are your biggest challenges with lead follow-up? Answer: Inefficient lead follow-up, poor lead data quality, lack of reporting and analytics."
"generate question: ['Improved process efficiency', ' Recycling programs', ' Waste reduction initiatives', ' Waste-to-energy technologies', ' Improved material handling'] MULTI-SELECT concise",Question: What are your company's goals for reducing waste? Answer: We're committed to improving our recycling programs. We're committed to improving our recycling programs. We're committed to improving our recycling programs.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Email', ' SMS', ' In-app notifications'] SINGLE-SELECT explanatory",Question: What is your preferred method of communication? Answer: I prefer to communicate via email.
"generate question: ['Communicating effectively with employees', ' Involving employees in the change process', ' Providing training and support', ' Celebrating successes', ' Addressing concerns and feedback'] MULTI-SELECT explanatory",Question: How do you communicate effectively with employees? Answer: Providing training and support to employees.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['purchase count'] NUMBER annoyed,Question: What is the purchase count? Provide a number. Answer: The purchase count is based on the total number of units purchased. The total number of units purchased is based on the total number of units purchased.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Yes', ' No'] SINGLE-SELECT verbose",Question: Would you like to know if you have any other suggestions? Answer: Yes.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Competition', ' Economic conditions', ' Technology changes', ' Regulations', ' Finding and retaining talent'] MULTI-SELECT colloquial",Question: What are your company's challenges? Answer: We're in a competitive environment.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['revenue'] NUMBER colloquial,Question: What is the total amount of revenue generated? Answer: The total amount of revenue generated is estimated to be around $1 million. The total amount of revenue generated is estimated to be around $1 million. The total amount of revenue generated is estimated to be around $1 million. The total amount generated is estimated to be around $1 million.
"generate question: ['Relational databases', ' NoSQL databases', ' Graph databases'] MULTI-SELECT explanatory",Question: What types of databases do you use? Answer: Relational databases.
generate question: ['equipment count'] NUMBER verbose,Question: What is the equipment count? Provide a number. Answer: The equipment count is based on the number of units in the building. The number of units in the building is based on the number of units in the building. The number of units in the building is based on the number of units in the building.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Take a break', ' Seek inspiration from others', ' Experiment with new techniques', ' Change my environment', ' Try a different approach'] SINGLE-SELECT colloquial",Question: What are your favorite techniques for creating a better environment? Answer: I like to experiment with new techniques.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Painting', ' Sculpture', ' Digital Art', ' Photography', ' Graphic Design'] SINGLE-SELECT explanatory","Question: What is your favorite art form? Answer: Digital Art, Photography, Graphic Design."
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Healthcare', ' Finance', ' Technology', ' Education', ' Retail', ' Manufacturing'] MULTI-SELECT annoyed",Question: What industries do you work in? Answer: Technology.
generate question: ['proposals submitted'] NUMBER annoyed,Question: What is the number of proposals submitted? Provide a number. Answer: The number of proposals submitted is the number of proposals submitted. The number of proposals submitted is the number of proposals submitted.
"generate question: ['Morning', ' Afternoon', ' Evening'] SINGLE-SELECT explanatory",Question: What is your preferred time of day? Answer: It's the middle of the day.
generate question: ['work hours'] NUMBER concise,Question: How many hours did you work on your project? Answer: I worked on a project for a number of years.
"generate question: ['Patents', ' Trademarks', ' Copyrights', ' Trade secrets', ' Non-disclosure agreements'] MULTI-SELECT explanatory","Question: What types of trade secrets do you use? Answer: I use Copyrights, Trade secrets, Copyrights and Non-disclosure agreements to protect my intellectual property. Copyrights, Copyrights, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights, Trade secrets, Copyrights,"
"generate question: ['User manuals', ' Technical specifications', ' API documentation', ' Design documents', ' Test plans'] MULTI-SELECT explanatory","Question: What types of documentation do you use? Answer: Technical specifications, design documents, test plans."
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT concise,Generate a question and answer
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Immediate', ' Within 1 month', ' Within 3 months', ' Within 6 months', ' Longer than 6 months'] SINGLE-SELECT concise",Question: How long have you been working on this project? Answer: I've been working on this project for a few months now. I've been working on it for a few months now.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT annoyed",Question: What is your level of knowledge? Answer: I'm a beginner.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT annoyed",Question: What is your level of knowledge? Answer: I'm a beginner.
"generate question: ['Providing excellent customer service', ' Developing user-friendly products and services', ' Collecting customer feedback', ' Personalizing the customer experience', ' Building a strong brand reputation'] MULTI-SELECT annoyed",Question: What are your company's goals for the future? Answer: We're committed to providing excellent customer service. We're also committed to personalizing the customer experience.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['loan amount'] NUMBER verbose,Question: What is the loan amount? Provide a number. Answer: The loan amount is based on the amount borrowed.
generate question: ['contact preference'] NUMBER concise,Generate a question and answer: What is your contact information? Provide a contact number.
generate question: ['Text'] TEXT concise,Generate a question and answer
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Conferences', ' Trade shows', ' Seminars', ' Workshops', ' Networking events'] MULTI-SELECT verbose","Question: What types of events do you attend? Answer: Trade shows, workshops, networking events."
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['shoe size'] NUMBER verbose,Question: What is your shoe size? Provide a number. Answer: It's a shoe size.
"generate question: ['Industry publications', ' News websites', ' Social media', ' Conferences and trade shows', ' Industry analysts'] MULTI-SELECT colloquial","Question: What are your industry publications? Answer: Industry publications, conferences and trade shows."
"generate question: ['18-24', ' 25-34', ' 35-44', ' 45-54', ' 55+'] SINGLE-SELECT colloquial",Question: What age group are you in? Answer: I'm 18-24. I'm 35-44.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
